City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Semirom,IR,2022-07-17 17:04:28,31.4167,51.5667,70.77,12,0,11.18
217,Mount Gambier,AU,2022-07-17 17:04:29,-37.8333,140.7667,46.29,77,91,9.42
218,Sendai,JP,2022-07-17 17:00:16,38.2689,140.8719,70.34,91,1,4.43
219,Oum Hadjer,TD,2022-07-17 17:04:29,13.2954,19.6966,82.6,61,82,13.62
220,Amahai,ID,2022-07-17 17:04:29,-3.3333,128.9167,76.91,91,99,8.08
221,Rabat,MA,2022-07-17 17:02:29,33.9911,-6.8401,77.07,73,40,6.91
222,Pacific Grove,US,2022-07-17 17:01:21,36.6177,-121.9166,67.8,91,75,8.01
223,Male,MV,2022-07-17 17:04:30,4.1748,73.5089,82.76,78,100,17.2
224,Shache,CN,2022-07-17 17:04:30,38.4167,77.2406,81.72,16,0,5.32
225,Geraldton,AU,2022-07-17 17:04:30,-28.7667,114.6,54.01,100,40,8.05
226,Nouakchott,MR,2022-07-17 17:03:15,18.0858,-15.9785,80.53,77,22,17.29
227,Neryungri,RU,2022-07-17 17:04:31,56.6709,124.6491,61.05,89,1,1.77
228,Sao Miguel Do Araguaia,BR,2022-07-17 17:04:31,-13.275,-50.1628,95.07,17,17,6.87
229,Moose Factory,CA,2022-07-17 17:04:31,51.2585,-80.6094,88.77,28,68,10.94
230,Andra,RU,2022-07-17 17:04:32,62.5147,65.8878,63.5,55,1,3.76
231,Volokonovka,RU,2022-07-17 17:02:37,50.4827,37.8563,61.23,80,74,8.37
232,Vila Franca Do Campo,PT,2022-07-17 17:04:32,37.7167,-25.4333,72.01,69,50,6.06
233,Lebu,CL,2022-07-17 17:05:32,-37.6167,-73.65,50.13,86,100,9.53
234,Severo-Kurilsk,RU,2022-07-17 17:05:33,50.6789,156.125,53.55,96,100,1.54
235,Salon-De-Provence,FR,2022-07-17 17:05:33,43.6407,5.0954,94.44,51,0,11.5
236,Mbanza-Ngungu,CD,2022-07-17 17:05:33,-5.25,14.8667,78.51,48,33,6.29
237,Wenling,CN,2022-07-17 17:05:33,28.3669,121.36,79.56,95,100,11.52
238,Sakakah,SA,2022-07-17 17:05:34,29.9697,40.2064,100.13,11,1,7.27
239,Rypefjord,NO,2022-07-17 17:05:34,70.6333,23.6667,48.67,100,75,11.5
240,Abilene,US,2022-07-17 17:02:59,32.4487,-99.7331,98.08,27,0,6.91
241,Yanam,IN,2022-07-17 17:05:34,16.7333,82.2167,77.04,93,100,4.41
242,West Richland,US,2022-07-17 17:05:35,46.3043,-119.3614,76.91,44,0,10.0
243,Banda Aceh,ID,2022-07-17 17:05:35,5.5577,95.3222,80.06,81,81,4.56
244,Sitka,US,2022-07-17 17:00:59,57.0531,-135.33,54.68,97,100,7.63
245,Coahuayana,MX,2022-07-17 17:05:35,18.7333,-103.6833,88.65,56,100,0.65
246,Baghdad,IQ,2022-07-17 17:05:36,33.3406,44.4009,102.11,14,0,10.36
247,Albion,US,2022-07-17 17:05:36,42.2431,-84.753,77.7,82,75,5.75
248,Saint-Joseph,RE,2022-07-17 17:05:36,-21.3667,55.6167,68.38,77,65,17.09
249,El Cobre,CU,2022-07-17 17:05:37,20.0489,-75.9469,90.84,55,40,9.22
250,Fethiye,TR,2022-07-17 17:05:37,36.6217,29.1164,87.67,44,0,3.62
